                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5358,                 4.4594,                 1.3429,                0.00176,                0.16405,                0.07525,                0.05785,                 1.2383,                 4.0672,                 1.1622,               9.09e-05,               9.09e-05,               9.09e-05
                      2,                 1.4689,                 3.4117,                 1.2273,                 0.0373,                0.21201,                0.11137,                0.07891,                 1.3045,                 3.7689,                 1.0919,             0.00019026,             0.00019026,             0.00019026
                      3,                 1.3927,                 2.4763,                 1.1636,                0.02847,                0.19976,                0.14137,                0.09851,                 1.3551,                 3.7334,                  1.175,             0.00028896,             0.00028896,             0.00028896
                      4,                 1.3971,                 2.1183,                 1.1538,                0.01241,                0.17883,                0.13467,                0.10793,                 1.2634,                 3.5804,                 1.0887,               0.000387,               0.000387,               0.000387
                      5,                 1.3068,                 1.9674,                   1.15,                0.98971,                0.09695,                0.14839,                0.11211,                 1.3061,                 3.4304,                  1.096,             0.00048438,             0.00048438,             0.00048438
                      6,                 1.2946,                 1.8337,                 1.1107,                      1,                 0.1029,                0.14315,                0.10834,                 1.3975,                 3.3883,                 1.1342,              0.0005811,              0.0005811,              0.0005811
                      7,                 1.2872,                 1.7227,                 1.1146,                0.94212,                0.11512,                0.17525,                  0.123,                 1.4312,                 3.2643,                 1.1452,             0.00067716,             0.00067716,             0.00067716
                      8,                 1.2788,                 1.6225,                 1.1137,                0.81519,                0.15557,                0.30095,                0.18363,                 1.5006,                 2.7994,                 1.1806,             0.00077256,             0.00077256,             0.00077256
                      9,                  1.264,                 1.6004,                 1.1274,                0.89667,                0.13521,                0.27379,                0.16831,                 1.5542,                 2.7356,                 1.2483,              0.0008673,              0.0008673,              0.0008673
                     10,                 1.3055,                 1.5533,                  1.125,                0.72924,                0.11711,                0.25999,                0.13259,                 1.6447,                 2.6819,                 1.3248,               0.000882,               0.000882,               0.000882
                     11,                 1.2266,                 1.4221,                 1.0944,                0.43096,                0.33526,                0.37931,                0.22599,                 1.4729,                 2.1784,                 1.2787,               0.000879,               0.000879,               0.000879
                     12,                 1.2274,                  1.381,                 1.0811,                0.53362,                0.42216,                0.40757,                0.23982,                 1.4615,                 2.2451,                 1.2279,               0.000876,               0.000876,               0.000876
                     13,                 1.2246,                 1.3437,                 1.1086,                0.71591,                0.32655,                0.37649,                  0.269,                  1.283,                 1.7067,                  1.065,               0.000873,               0.000873,               0.000873
                     14,                 1.1959,                 1.2026,                 1.0908,                0.67568,                0.29527,                0.37863,                0.23612,                 1.4148,                 1.8018,                 1.1011,                0.00087,                0.00087,                0.00087
                     15,                 1.2324,                 1.1949,                 1.0872,                0.71958,                 0.4646,                0.52174,                0.36444,                 1.2947,                 1.4594,                 1.0489,               0.000867,               0.000867,               0.000867
                     16,                 1.2217,                 1.1565,                 1.0749,                0.69443,                0.34168,                0.45184,                 0.3085,                 1.3936,                 1.5467,                 1.1269,               0.000864,               0.000864,               0.000864
                     17,                 1.1902,                 1.1278,                 1.0661,                0.79481,                0.29837,                0.44664,                0.29892,                 1.3715,                 1.7936,                 1.1549,               0.000861,               0.000861,               0.000861
                     18,                 1.1646,                  1.081,                 1.0719,                0.56768,                0.47535,                0.45115,                0.29943,                  1.459,                 1.4582,                 1.1248,             0.00085801,             0.00085801,             0.00085801
                     19,                 1.1485,                 1.0376,                 1.0614,                0.62945,                0.49891,                0.49485,                0.30862,                 1.3806,                 1.8956,                    1.1,             0.00085501,             0.00085501,             0.00085501
                     20,                 1.1114,                0.97426,                 1.0386,                0.64972,                0.49616,                0.54479,                0.34195,                 1.3893,                 1.3387,                 1.1047,             0.00085201,             0.00085201,             0.00085201
                     21,                 1.1397,                0.98023,                 1.0481,                0.63168,                0.40999,                0.42166,                0.27805,                 1.2671,                 1.5947,                 1.0957,             0.00084901,             0.00084901,             0.00084901
                     22,                 1.1135,                0.94154,                 1.0424,                 0.5439,                0.50295,                0.52058,                0.32368,                 1.3392,                 1.3052,                 1.1198,             0.00084601,             0.00084601,             0.00084601
                     23,                 1.0903,                 0.9478,                 1.0289,                0.79441,                0.45144,                0.55601,                0.34226,                 1.3259,                  1.419,                 1.1027,             0.00084301,             0.00084301,             0.00084301
                     24,                 1.0595,                0.96397,                  1.048,                0.48414,                0.51317,                0.52407,                0.34834,                 1.2287,                 1.5006,                 1.0621,             0.00084001,             0.00084001,             0.00084001
                     25,                 1.0712,                0.91072,                 1.0348,                0.77662,                0.46611,                0.59692,                0.37724,                 1.2712,                 1.1791,                 1.0416,             0.00083701,             0.00083701,             0.00083701
                     26,                 1.1004,                  0.897,                  1.024,                0.57935,                0.62814,                0.58866,                0.36361,                 1.3739,                 1.2523,                 1.1154,             0.00083401,             0.00083401,             0.00083401
                     27,                 1.0725,                0.84969,                  1.015,                0.51615,                0.63293,                0.61127,                0.38888,                 1.3822,                 1.2493,                 1.1101,             0.00083101,             0.00083101,             0.00083101
                     28,                 1.0476,                0.86349,                  1.024,                0.54255,                0.62756,                0.57258,                0.36888,                  1.268,                 1.2446,                 1.0599,             0.00082801,             0.00082801,             0.00082801
                     29,                 1.0654,                0.87825,                 1.0257,                0.71921,                0.42139,                 0.5605,                 0.3962,                 1.2264,                 1.1862,                 1.0508,             0.00082501,             0.00082501,             0.00082501
                     30,                 1.0365,                0.85112,                 1.0118,                0.61979,                0.47925,                0.53838,                 0.3726,                 1.2305,                 1.3904,                 1.0341,             0.00082201,             0.00082201,             0.00082201
                     31,                 1.0116,                0.80344,                 1.0087,                0.63275,                0.62421,                0.63309,                0.38819,                 1.3515,                  1.319,                 1.0589,             0.00081901,             0.00081901,             0.00081901
                     32,                 1.0263,                 0.8017,                 1.0151,                0.71683,                0.59629,                0.61913,                0.37724,                 1.2998,                 1.1218,                 1.0634,             0.00081601,             0.00081601,             0.00081601
                     33,                 1.0257,                0.78842,                 1.0054,                0.66206,                0.59332,                0.59646,                0.39293,                 1.2393,                 1.1876,                 1.0454,             0.00081301,             0.00081301,             0.00081301
                     34,                 1.0125,                0.78912,                 1.0009,                0.70097,                0.55496,                0.64212,                0.40292,                 1.2826,                 1.0758,                 1.0519,             0.00081001,             0.00081001,             0.00081001
                     35,                 1.0152,                0.79916,                 1.0091,                0.73924,                0.62375,                0.67937,                0.42469,                 1.2455,                 1.1416,                 1.0473,             0.00080701,             0.00080701,             0.00080701
                     36,                 0.9971,                0.76086,                 1.0068,                0.57308,                0.61268,                0.59596,                0.38527,                 1.2713,                 1.0596,                 1.0374,             0.00080401,             0.00080401,             0.00080401
                     37,                 1.0131,                0.78126,                0.99611,                0.53432,                 0.5482,                0.55787,                 0.3666,                 1.2738,                 1.2236,                 1.0368,             0.00080101,             0.00080101,             0.00080101
                     38,                 0.9882,                 0.7211,                0.98606,                0.60401,                0.60838,                0.58489,                0.38515,                 1.2132,                 1.0969,                 1.0141,             0.00079801,             0.00079801,             0.00079801
                     39,                0.98342,                0.72809,                0.99032,                 0.5688,                0.64044,                0.61827,                 0.3912,                 1.2319,                 1.1038,                 1.0109,             0.00079501,             0.00079501,             0.00079501
                     40,                0.97413,                0.74601,                0.99012,                0.78262,                0.63807,                0.65043,                0.44018,                 1.1903,                 1.0321,                0.99727,             0.00079201,             0.00079201,             0.00079201
                     41,                0.99521,                0.72716,                0.98571,                0.66986,                0.65541,                0.67599,                0.43788,                 1.2239,                 1.0385,                 1.0234,             0.00078901,             0.00078901,             0.00078901
                     42,                0.99513,                0.72721,                0.98947,                 0.7637,                0.64345,                0.68009,                0.45537,                 1.2389,                 1.0111,                 1.0287,             0.00078601,             0.00078601,             0.00078601
                     43,                0.94815,                0.71007,                0.98408,                0.75747,                0.66529,                0.70661,                0.45817,                 1.2491,                 1.0249,                 1.0293,             0.00078301,             0.00078301,             0.00078301
                     44,                0.98176,                0.73241,                0.98919,                0.69637,                0.72038,                0.71472,                0.47248,                 1.1989,                0.94744,                 1.0149,             0.00078001,             0.00078001,             0.00078001
                     45,                0.97525,                0.72545,                0.97982,                0.62577,                0.65555,                0.65383,                0.45255,                 1.2202,                 1.2185,                 1.0174,             0.00077701,             0.00077701,             0.00077701
                     46,                0.97103,                0.71583,                0.98133,                0.68914,                0.66049,                0.60777,                0.41998,                 1.1904,                 1.1657,                 1.0029,             0.00077401,             0.00077401,             0.00077401
                     47,                0.93449,                0.69743,                0.97388,                0.58162,                0.64431,                 0.5685,                0.38025,                 1.2162,                 1.1868,                 1.0648,             0.00077101,             0.00077101,             0.00077101
                     48,                0.96354,                0.69344,                0.96923,                0.65177,                0.59505,                0.62143,                0.42983,                 1.2103,                 1.1184,                 1.0283,             0.00076801,             0.00076801,             0.00076801
                     49,                0.93125,                0.68792,                0.96775,                0.69279,                0.64879,                0.68036,                 0.4328,                 1.2397,                  1.081,                 1.0513,             0.00076501,             0.00076501,             0.00076501
                     50,                0.95805,                0.71344,                0.96948,                0.67283,                0.71446,                  0.663,                 0.4203,                 1.2402,                 1.0085,                 1.0389,             0.00076201,             0.00076201,             0.00076201
                     51,                0.95157,                0.70678,                0.97949,                0.68321,                0.71409,                0.69642,                0.46501,                  1.222,                0.96701,                  1.056,             0.00075902,             0.00075902,             0.00075902
                     52,                0.94774,                0.67563,                 0.9788,                 0.7174,                 0.6863,                0.67652,                0.44031,                  1.208,                 1.0049,                 1.0437,             0.00075602,             0.00075602,             0.00075602
                     53,                0.93362,                0.67293,                0.96108,                0.70177,                 0.6688,                0.68753,                0.44985,                 1.2341,                 1.1124,                 1.0414,             0.00075302,             0.00075302,             0.00075302
                     54,                0.91435,                0.65982,                0.97314,                0.60635,                0.72406,                0.66591,                0.42256,                 1.2117,                 1.0599,                 1.0294,             0.00075002,             0.00075002,             0.00075002
                     55,                0.91799,                0.64315,                0.96155,                0.62227,                0.67726,                0.64601,                0.43957,                 1.1981,                0.99837,                 1.0272,             0.00074702,             0.00074702,             0.00074702
                     56,                0.93802,                0.66708,                0.96971,                0.72899,                0.68908,                0.71892,                0.48297,                 1.1957,                0.98318,                 1.0192,             0.00074402,             0.00074402,             0.00074402
                     57,                0.90591,                 0.6559,                 0.9653,                0.76247,                0.68002,                0.67982,                0.46977,                 1.1687,                0.93908,                 1.0221,             0.00074102,             0.00074102,             0.00074102
                     58,                0.90675,                0.64504,                0.95376,                0.73377,                0.71059,                0.72321,                0.46625,                 1.2236,                0.92187,                 1.0392,             0.00073802,             0.00073802,             0.00073802
                     59,                0.90975,                0.64663,                0.96122,                0.58691,                0.67254,                0.64438,                0.41315,                 1.1881,                0.97443,                  1.021,             0.00073502,             0.00073502,             0.00073502
                     60,                0.90772,                0.63284,                0.96336,                0.60362,                0.69734,                0.64251,                0.42573,                 1.1589,                0.92485,                 1.0144,             0.00073202,             0.00073202,             0.00073202
                     61,                0.91333,                0.65323,                0.96639,                0.72147,                0.68561,                0.66377,                0.43246,                 1.2084,                 1.0698,                 1.0474,             0.00072902,             0.00072902,             0.00072902
                     62,                 0.8778,                0.62393,                0.95612,                0.77292,                0.68394,                0.64236,                 0.4248,                 1.2396,                 1.0219,                 1.0468,             0.00072602,             0.00072602,             0.00072602
                     63,                 0.9034,                0.64255,                0.95737,                0.70898,                  0.553,                 0.5753,                0.36483,                  1.258,                 1.1328,                  1.038,             0.00072302,             0.00072302,             0.00072302
                     64,                0.87977,                0.63722,                0.95367,                0.71595,                0.72159,                 0.7043,                0.45235,                 1.2306,                 1.0215,                 1.0514,             0.00072002,             0.00072002,             0.00072002
                     65,                0.91762,                0.64859,                0.96801,                0.72265,                0.72569,                0.71071,                0.47437,                 1.2089,                 1.0136,                 1.0239,             0.00071702,             0.00071702,             0.00071702
                     66,                0.90273,                0.64184,                 0.9583,                0.73684,                0.74775,                0.76433,                0.47502,                 1.1999,                0.99179,                 1.0176,             0.00071402,             0.00071402,             0.00071402
                     67,                0.90971,                0.62572,                0.95208,                0.83177,                0.61851,                0.70178,                0.45052,                 1.2392,                 1.0297,                 1.0437,             0.00071102,             0.00071102,             0.00071102
                     68,                0.86437,                0.62522,                0.94555,                0.70712,                0.62214,                0.68835,                0.45299,                 1.2443,                0.99447,                 1.0586,             0.00070802,             0.00070802,             0.00070802
                     69,                0.89702,                0.61631,                0.95223,                0.75585,                0.61959,                0.70925,                0.47795,                 1.1932,                0.98314,                 1.0305,             0.00070502,             0.00070502,             0.00070502
                     70,                0.88287,                0.62251,                0.96383,                  0.658,                0.67263,                0.67039,                0.42899,                 1.2288,                0.87508,                 1.0397,             0.00070202,             0.00070202,             0.00070202
                     71,                 0.8344,                0.57985,                0.93686,                0.62931,                 0.7191,                0.68457,                0.45206,                 1.1867,                0.95456,                 1.0214,             0.00069902,             0.00069902,             0.00069902
                     72,                0.89321,                0.62716,                0.94627,                  0.717,                0.63525,                0.66395,                0.45102,                 1.1606,                0.97506,                 1.0034,             0.00069602,             0.00069602,             0.00069602
                     73,                0.84495,                0.59405,                0.94598,                0.72053,                0.76145,                0.73732,                0.46989,                 1.1565,                0.94598,                 1.0185,             0.00069302,             0.00069302,             0.00069302
                     74,                0.87399,                0.61758,                0.94513,                0.74639,                0.70312,                 0.7098,                0.45771,                 1.1642,                 0.9373,                 1.0005,             0.00069002,             0.00069002,             0.00069002
                     75,                0.86172,                0.60345,                0.93353,                0.65145,                0.71404,                0.67724,                0.42986,                 1.2272,                 1.0033,                  1.047,             0.00068702,             0.00068702,             0.00068702
                     76,                0.80993,                0.59047,                0.93253,                0.72149,                0.65171,                0.69993,                0.44146,                 1.1929,                  1.043,                 1.0246,             0.00068402,             0.00068402,             0.00068402
                     77,                0.82729,                0.57367,                0.95147,                 0.7658,                 0.6493,                0.68396,                 0.4501,                 1.2121,                0.97594,                 1.0298,             0.00068102,             0.00068102,             0.00068102
                     78,                0.83943,                 0.5919,                0.93907,                0.72147,                0.67452,                0.69501,                0.46129,                 1.2252,                 1.0233,                 1.0273,             0.00067802,             0.00067802,             0.00067802
                     79,                0.86495,                0.59656,                0.94278,                0.67595,                0.67144,                0.67667,                0.42458,                 1.1999,                0.99298,                 1.0258,             0.00067502,             0.00067502,             0.00067502
                     80,                0.84206,                0.59181,                0.93241,                0.75473,                0.66154,                0.72569,                0.47508,                  1.166,                0.97426,                 1.0296,             0.00067202,             0.00067202,             0.00067202
                     81,                0.83285,                0.60772,                0.93834,                0.73643,                0.70278,                 0.7273,                0.48558,                 1.1864,                 1.0171,                 1.0306,             0.00066902,             0.00066902,             0.00066902
                     82,                0.83008,                0.58721,                0.93577,                0.78575,                 0.6218,                0.71459,                0.47354,                 1.1562,                 1.0302,                 1.0214,             0.00066602,             0.00066602,             0.00066602
                     83,                0.82094,                0.57089,                0.93703,                0.68142,                0.72857,                0.72176,                0.45724,                 1.1955,                0.93505,                 1.0427,             0.00066302,             0.00066302,             0.00066302
                     84,                0.82004,                0.57576,                0.93995,                0.64748,                0.66734,                0.67211,                0.44535,                 1.1689,                0.93338,                 1.0358,             0.00066002,             0.00066002,             0.00066002
                     85,                0.82124,                0.57525,                0.93593,                0.68725,                0.70586,                0.66899,                0.42682,                 1.1894,                 1.0021,                 1.0438,             0.00065703,             0.00065703,             0.00065703
                     86,                0.85022,                0.59028,                0.94278,                0.67688,                0.73001,                0.69324,                0.45866,                 1.1822,                 0.9312,                 1.0169,             0.00065403,             0.00065403,             0.00065403
                     87,                0.84275,                0.57964,                0.93938,                0.61277,                0.73929,                0.68741,                 0.4538,                 1.1881,                0.92824,                 1.0189,             0.00065103,             0.00065103,             0.00065103
                     88,                0.84903,                0.58522,                 0.9385,                 0.6792,                0.74802,                0.72119,                0.46991,                 1.1663,                0.91252,                 1.0252,             0.00064803,             0.00064803,             0.00064803
                     89,                0.81235,                 0.5484,                0.93197,                0.72859,                 0.6777,                0.67036,                0.45044,                 1.1604,                0.94208,                  1.021,             0.00064503,             0.00064503,             0.00064503
                     90,                0.78745,                0.54635,                 0.9273,                0.65318,                0.67608,                0.62698,                0.41884,                 1.1793,                0.92508,                 1.0266,             0.00064203,             0.00064203,             0.00064203
                     91,                0.81346,                0.56921,                0.93917,                0.68718,                0.60051,                0.65085,                0.43919,                 1.1679,                 0.9466,                 1.0282,             0.00063903,             0.00063903,             0.00063903
                     92,                 0.8523,                0.57068,                0.92738,                0.70556,                0.70325,                  0.732,                0.47338,                 1.1189,                0.90278,                 1.0011,             0.00063603,             0.00063603,             0.00063603
                     93,                0.79605,                0.54967,                0.93686,                0.65498,                0.65138,                0.63878,                0.42246,                 1.1589,                0.90582,                 1.0215,             0.00063303,             0.00063303,             0.00063303
                     94,                0.82471,                0.56988,                0.92632,                0.58481,                 0.7043,                0.65388,                0.42857,                 1.1819,                0.90394,                 1.0333,             0.00063003,             0.00063003,             0.00063003
                     95,                0.83706,                0.57167,                 0.9367,                0.63088,                0.74469,                0.67307,                0.43056,                 1.1535,                0.98726,                 1.0265,             0.00062703,             0.00062703,             0.00062703
                     96,                 0.8027,                0.54061,                0.92106,                0.73864,                0.73235,                0.69753,                0.46429,                 1.1612,                0.94282,                 1.0331,             0.00062403,             0.00062403,             0.00062403
                     97,                0.82869,                0.55103,                0.92874,                0.83399,                 0.7395,                0.76261,                0.48685,                 1.1698,                0.90743,                 1.0268,             0.00062103,             0.00062103,             0.00062103
                     98,                0.81961,                0.54002,                0.92985,                0.78046,                0.69589,                0.72495,                0.45623,                 1.1928,                0.95851,                 1.0184,             0.00061803,             0.00061803,             0.00061803
                     99,                0.80235,                0.54652,                0.92259,                0.69273,                0.70518,                0.67143,                0.43345,                 1.1732,                0.92389,                 1.0362,             0.00061503,             0.00061503,             0.00061503
                    100,                0.78735,                0.53214,                 0.9194,                0.69371,                0.71356,                 0.7027,                0.45933,                 1.1452,                0.91956,                 1.0152,             0.00061203,             0.00061203,             0.00061203
                    101,                 0.7637,                0.52444,                0.91967,                0.72079,                0.64494,                0.71686,                0.45197,                 1.1479,                0.91375,                  1.013,             0.00060903,             0.00060903,             0.00060903
                    102,                0.79719,                0.55158,                0.93233,                 0.6614,                0.66036,                0.64559,                0.43173,                   1.13,                0.97025,                  1.009,             0.00060603,             0.00060603,             0.00060603
                    103,                0.79411,                0.53547,                0.92549,                0.64254,                0.62403,                0.60681,                0.41006,                 1.1797,                 1.0404,                 1.0457,             0.00060303,             0.00060303,             0.00060303
                    104,                0.75825,                 0.5183,                0.92174,                0.61935,                0.68871,                 0.6464,                0.43899,                 1.1807,                 1.0135,                 1.0125,             0.00060003,             0.00060003,             0.00060003
                    105,                0.78903,                0.55835,                0.92942,                 0.5762,                0.70763,                0.64923,                0.41234,                 1.1593,                0.98555,                 1.0222,             0.00059703,             0.00059703,             0.00059703
                    106,                0.78627,                0.52827,                 0.9236,                0.68249,                0.63935,                0.68206,                0.44136,                  1.212,                0.98329,                 1.0724,             0.00059403,             0.00059403,             0.00059403
                    107,                0.79495,                0.53795,                0.91755,                0.70713,                0.58453,                0.65978,                0.42183,                 1.2251,                 1.1155,                 1.0543,             0.00059103,             0.00059103,             0.00059103
                    108,                0.77691,                0.54632,                0.91748,                0.70448,                 0.7524,                0.71697,                0.46348,                 1.1479,                0.87075,                 1.0238,             0.00058803,             0.00058803,             0.00058803
                    109,                0.81411,                0.54017,                0.92558,                0.63739,                0.76147,                 0.6987,                0.44857,                 1.1559,                0.85986,                 1.0243,             0.00058503,             0.00058503,             0.00058503
                    110,                0.79232,                0.53792,                0.92099,                0.72673,                0.68767,                0.69608,                0.44375,                 1.1717,                0.92126,                 1.0417,             0.00058203,             0.00058203,             0.00058203
                    111,                0.79555,                0.52426,                0.91897,                0.63751,                0.69396,                 0.6814,                0.45563,                 1.1723,                0.98106,                 1.0355,             0.00057903,             0.00057903,             0.00057903
                    112,                0.78367,                0.51386,                0.91717,                0.67695,                 0.7506,                0.72973,                0.47532,                 1.1283,                0.90686,                 1.0152,             0.00057603,             0.00057603,             0.00057603
                    113,                0.75123,                0.51984,                0.91586,                0.60955,                 0.7012,                0.67885,                0.46088,                 1.1457,                0.96834,                 1.0192,             0.00057303,             0.00057303,             0.00057303
                    114,                0.79469,                0.53546,                0.91517,                0.71345,                0.74035,                0.72764,                0.47408,                 1.1914,                0.94189,                 1.0477,             0.00057003,             0.00057003,             0.00057003
                    115,                0.79332,                0.52709,                0.91788,                0.83163,                0.75899,                0.77146,                 0.4862,                 1.1842,                0.83817,                 1.0603,             0.00056703,             0.00056703,             0.00056703
                    116,                0.76437,                0.50919,                0.90736,                0.74375,                0.65075,                0.67782,                0.42764,                 1.2801,                 1.1599,                 1.0833,             0.00056403,             0.00056403,             0.00056403
                    117,                0.77251,                0.52193,                0.92259,                0.69613,                0.67728,                0.69689,                0.44343,                 1.2071,                0.96976,                 1.0434,             0.00056103,             0.00056103,             0.00056103
                    118,                0.76119,                 0.5085,                0.90621,                0.70671,                0.74598,                 0.7205,                0.47337,                 1.2011,                0.94185,                 1.0678,             0.00055804,             0.00055804,             0.00055804
